time_s,ECG1,ECG2,NIBP
0.0,-0.05021963979332731,0.01120573087622625,97.361881649169
0.01,-0.027036278210047032,-0.0026887537331305705,97.35043754252916
0.02,-0.056608236593265346,0.0077243387593404255,97.28406172401804
0.03,-0.029934198407957066,0.0013676897602051456,97.1604653723077
0.04,-0.060065982283953455,0.00425848857154784,97.0254249139575
0.05,-0.03342487500998506,-0.005579552544473265,96.77823221053677
0.06,-0.06414941529009942,0.0002020450782121238,96.48526308055668
0.07,-0.04152587919959721,-0.014267490907594589,96.18313866526469
0.08,-0.06414941529009942,0.0013676897602051456,95.80090550349378
0.09,-0.04211863560371517,-0.011361150167158654,95.36145180852363
0.1,-0.06589475359111341,-0.0009480576746876578,94.8899546149619
0.11,-0.04383104299338928,-0.012526794849151675,94.3406374962492
0.12,-0.07050508117869755,-0.0015231090511375485,93.75698805761697
0.13,-0.04383104299338928,-0.010211047414258871,93.23971443749583
0.14,-0.07514833967762159,-0.0050045011680233745,92.75677313729426
0.15,-0.04557638129440328,-0.011951743472701785,92.30816415701223
0.16,-0.06760716098078752,-0.007320248602916178,91.88015456868193
0.17,-0.04383104299338928,-0.010786098790708763,91.45443380167958
0.18,-0.06935249928180152,-0.0009480576746876578,91.03786831998913
0.19,-0.04383104299338928,-0.00963599603780898,90.63503576626648
0.2,-0.06470924078287749,0.00425848857154784,90.26424671113541
0.21,-0.031086780304853102,-0.0015231090511375485,89.83623712280512
0.22,-0.007310662317454861,0.022784468050690267,89.38762814252307
0.23,0.019363375867853416,0.032622509166711375,89.00539498075216
0.24,0.042546737451133694,0.019878127310254335,88.73531406405175
0.25,0.10633391271649435,0.03319756054316127,88.49956546727088
0.26,0.050087916147967766,0.014671581064018837,88.26381687049002
0.27,0.011822197171019348,-0.023514938718072562,87.97313656183789
0.28,-0.06760716098078752,-0.012526794849151675,87.66872332521794
0.29,-0.06355665888598146,-0.032777928457643775,87.38719830187769
0.3,-0.10007703956191587,-0.030462181022750973,87.13085031314509
0.31,-0.07923177268376755,-0.03220287708119388,86.90425700167611
0.32,-0.1047202980608399,-0.031627825704744,86.71428483145463
0.33,-0.0855874385723657,-0.038559526080329164,86.48998034131361
0.34,-0.12675107774722416,-0.018308392471837066,86.2198994246132
0.35,-0.17545589561891667,0.0818127147468169,85.93837440127295
0.36,0.1353131146955947,0.0968573021090735,85.63624998598097
0.37,0.8658853827709825,-0.14157143211032583,85.38905728256026
0.38,0.8003858001159477,-0.20465612229978816,85.19908511233879
0.39,-0.018902343109095002,-0.15315016928478983,84.9953800141495
0.4,-0.34534646722139245,0.0025177925131049275,84.81685195056787
0.41,-0.2746108696633157,0.06328673526767446,84.60170274573873
0.42,-0.20038459550321094,0.0794969673119241,84.43461878879695
0.43,-0.12270057565241807,0.01063067949977636,84.3110224370866
0.44,-0.12675107774722416,-0.006154603920923155,84.09816205358543
0.45,-0.1082109746628679,-0.01484254228404448,83.82808113688502
0.46,-0.12793659055546008,-0.01484254228404448,83.58088843346431
0.47,-0.10936355655976394,-0.020624139906729868,83.3565839433233
0.48,-0.12849641604823814,-0.018883443848286954,83.14372355982212
0.49,-0.1082109746628679,-0.016567696413394152,82.92857435499299
0.5,-0.12500573944621016,-0.013101846225601566,82.66078225962055
0.51,-0.1082109746628679,-0.01541759366049437,82.3792572362803
0.52,-0.12154799375552204,-0.0050045011680233745,82.07484399966035
0.53,-0.10587287995773594,-0.010211047414258871,81.73838726444882
0.54,-0.11980265545450804,-0.0067296552973730465,81.45686224110857
0.55,-0.1029749597598259,-0.007895299979366069,81.25544596424724
0.56,-0.11631197885248004,0.0013676897602051456,81.24400185760739
0.57,-0.09717911936400583,0.0002020450782121238,81.73838726444882
0.58,-0.1099563129638819,0.008889983441333448,83.18721116505354
0.59,-0.09023069707128972,0.008314932064883556,85.9955949344722
0.6,-0.09082345347540768,0.026250318238482853,90.12920625278521
0.61,-0.06530199718699545,0.029141117049825548,94.77780236989139
0.62,-0.060065982283953455,0.05170799809321045,99.02356593327491
0.63,-0.021800263307005036,0.06849328151390997,102.5277513863963
0.64,-0.012546677220496856,0.08411292025261646,105.10038655903409
0.65,0.03734365345943159,0.0968573021090735,106.58354277955836
0.66,0.0547311746468918,0.1043795957902018,107.09852757835151
0.67,0.10228341062168829,0.11073624478933708,107.00926354656069
0.68,0.1161802552071205,0.10669534322509461,106.57209867291851
0.69,0.13880379129762271,0.08991005980439509,105.8968963811675
0.7,0.12777193599876063,0.07138408032525266,105.27891462261572
0.71,0.12372143390395457,0.04998284396386078,104.85319385561337
0.72,0.08545571492700615,0.03088181310826846,104.57166883227312
0.73,0.06398476073339998,0.015837225746011856,104.3473643421321
0.74,0.019363375867853416,0.00425848857154784,104.26954441698113
0.75,0.001942923769053319,-0.0032638051095804613,104.30158791557271
0.76,-0.031086780304853102,-0.011951743472701785,104.42518426728307
0.77,-0.035730038803777134,-0.01484254228404448,104.6174452588325
0.78,-0.062404076989085414,-0.025255634776515476,104.77537393046241
0.79,-0.04847430149231331,-0.01715828971893728,104.88752617553291
0.8,-0.06819991738490548,-0.027571382211408278,104.93101378076433
0.81,-0.06299683339320337,-0.023514938718072562,104.89897028217277
0.82,-0.07225041947971156,-0.019474037153830087,104.83030564233368
0.83,-0.060658738688071416,-0.012526794849151675,104.69526518398348
0.84,-0.06879267378902344,-0.012526794849151675,104.4160289819712
0.85,-0.060658738688071416,-0.010211047414258871,103.88731125521022
0.86,-0.06530199718699545,-0.0067296552973730465,103.14573314494808
0.87,-0.051964978094341314,-0.0009480576746876578,102.05625419283457
0.88,-0.05776081849016138,-0.0021137023566806796,100.63031850550954
0.89,-0.051372221690223346,-0.0067296552973730465,99.18149460490481
0.9,-0.05545565469636931,-0.003838856486030352,97.99130751436064
