time_s,ECG,NIBP
0.0,0.057388116028894515,58.775837161961164
0.01,0.09153182072050423,58.867333084845654
0.02,0.13168125848490522,58.348093722476165
0.03,0.17850373299685213,58.01298990491172
0.04,0.2290519863595121,58.80671703593468
0.05,0.27253794249768604,63.38380057823136
0.06,0.2845494086432686,72.66148715871877
0.07,0.2444555795184305,83.55636417618958
0.08,0.1707185234580486,93.07765865135696
0.09,0.09520199093165446,100.73701109582494
0.1,0.04120600191609577,105.95570979734912
0.11,0.0033365183737729368,108.24425156849745
0.12,-0.02074202255695509,109.22097054528939
0.13,-0.03186375046953155,108.73261105689342
0.14,-0.03570074659937042,108.82410697977791
0.15,-0.037702657623634186,109.06885857349393
0.16,-0.04042748096221542,108.73261105689342
0.17,-0.0385923958566403,108.39750723932897
0.18,-0.03736900578625689,107.93888392587046
0.19,-0.04026065504352677,107.14630049388356
0.2,-0.04287426110298224,106.07808559420711
0.21,-0.04270743518429359,104.12464764062322
0.22,-0.04087235007871848,102.11059363812836
0.23,-0.04320791294035953,100.89026676665645
0.24,-0.04120600191609577,98.84533289018808
0.25,-0.041372827834784416,98.11336550711215
0.26,-0.041372827834784416,97.68562206762715
0.27,-0.04259621790516783,97.71650194160067
0.28,-0.04087235007871848,97.65474219365363
0.29,-0.045154215325060414,97.28875850211567
0.3,-0.048657559617521995,96.46529519615525
0.31,-0.04760099546582723,95.21408845070982
0.32,-0.04793464730320453,93.16915457424145
0.33,-0.0508262965604744,91.24659649463108
0.34,-0.04804586458233029,89.5379101347632
0.35,-0.048991211454899285,87.98133574669079
0.36,-0.04821269050101894,87.2482246645788
0.37,-0.048379516419707586,87.27910453855232
0.38,-0.046989300430635525,86.82162492412986
0.39,-0.050381427443971345,87.18760861566783
0.4,-0.0492692546527137,87.15672874169431
0.41,-0.0502146015252827,87.15672874169431
0.42,-0.04988094968790541,86.91312084701435
0.43,-0.0492692546527137,87.58447218117931
0.44,-0.04943608057140235,88.31643956425523
0.45,-0.04882438553621064,88.83567892662472
0.46,-0.04960290649009099,88.71330312976671
0.47,-0.04882438553621064,88.80479905265122
0.48,-0.053995989015558694,87.95045587271727
0.49,-0.05355111989905564,86.82162492412986
0.5,-0.0508262965604744,86.91312084701435
0.51,-0.050492644723097106,85.23417066208394
0.52,-0.05004777560659405,85.29593041003098
0.53,-0.05093751383960017,83.28073270850005
0.54,-0.04960290649009099,81.26667870600518
0.55,-0.05127116567697746,80.0772317085068
0.56,-0.05811102834321198,80.04635183453328
0.57,-0.06422797869512903,79.31438445145736
0.58,-0.05371794581774428,78.79514508908787
0.59,-0.05171603479348052,77.60455439255342
0.6,-0.05171603479348052,76.903466883451
0.61,-0.0389260476940176,76.41510739505503
0.62,-0.039648960008335066,75.62138026403207
0.63,-0.05844468018058928,75.5607642151211
0.64,-0.06394993549731462,73.9126939041642
0.65,-0.060891460321356096,73.51583033865272
0.66,-0.057999811064086214,73.51583033865272
0.67,-0.0605578084839788,73.17958282205221
0.68,-0.09826046610761299,72.78271925654073
0.69,-0.17366578135488137,71.9283760766068
0.7,0.02046397935914068,71.53151251109531
0.71,0.6616315935191733,71.01341684776187
0.72,0.9463478280811306,70.3111856396234
0.73,0.41061419453232273,69.85370602520095
0.74,-0.027748711141878258,69.48772233366299
0.75,-0.026080451954991788,68.60249927975553
0.76,-0.023021976779033265,67.90026807161706
0.77,-0.04621077947675517,67.47366833116811
0.78,-0.04976973240877964,66.98530884277214
0.79,-0.045154215325060414,67.01504501770961
0.8,-0.04365278205686259,66.31395750860719
0.81,-0.04076113279959271,65.85533419514869
0.82,-0.039982611845712356,65.3669747067527
0.83,-0.03753583170494554,65.00099101521474
0.84,-0.03342079237729225,65.03187088918826
0.85,-0.03186375046953155,64.54351140079228
0.86,-0.025468756919800085,64.2381437581653
0.87,-0.01879572017225421,63.87216006662733
0.88,-0.01145537974995375,63.41468045220487
0.89,-0.0036701702111502305,62.9263209638089
0.9,0.01051003287738475,62.95605713874636
0.91,0.028694058014447257,62.62095332118191
0.92,0.05249455574736087,61.76661014124797
0.93,0.08652704315984483,60.97288301022501
0.94,0.1273993932385633,61.00376288419853
0.95,0.17016243706241976,60.48452352182904
0.96,0.21665125973698937,60.51540339580256
0.97,0.2595255208399716,60.42390747291806
0.98,0.2742062016845725,63.35292070425784
0.99,0.23895032420170514,70.67716933116137
1.0,0.1669371359677726,70.70804920513488
1.01,0.09264399351176188,70.70804920513488
1.02,0.0332539664586036,80.41233552607125
1.03,-0.008841773690498283,90.26987751783913
1.04,-0.032642271423411896,98.3569734017921
1.05,-0.045154215325060414,104.00227184376521
1.06,-0.0508262965604744,106.78031680234558
1.07,-0.0546076840507504,106.81005297728305
1.08,-0.05688763827282857,108.39750723932897
1.09,-0.0561647259585111,108.39750723932897
1.1,-0.059501244332284035,108.30601131644448
1.11,-0.061058286240044744,108.06125972272847
1.12,-0.06272654542693121,107.909147750933
1.13,-0.0615031553565478,106.44406928574509
1.14,-0.06300458862474562,105.31523833715767
1.15,-0.060891460321356096,102.90432076915133
