time_s,ECG,NIBP
0.0,0.14449937500420784,-45.899659432508315
0.01,0.09170632581308634,-43.79394933593631
0.02,0.04104419606204283,-45.74706688512833
0.03,0.0010750584562555653,-43.763438277268286
0.04,-0.028066704697243507,-45.8691483738403
0.05,-0.04332869528158591,-43.79394933593631
0.06,-0.05692050576424555,-45.8691483738403
0.07,-0.06438832254073511,-43.763438277268286
0.08,-0.06713356109867342,-45.8691483738403
0.09,-0.0665192419808131,-43.73292721860027
0.1,-0.06667282176027818,-45.77757794379635
0.11,-0.06210382332119203,-43.73292721860027
0.12,-0.06225740310065711,-45.80808900246437
0.13,-0.05935858476325371,-43.763438277268286
0.14,-0.05843710608646322,-45.77757794379635
0.15,-0.05722766532317571,-43.79394933593631
0.16,-0.05905142520432355,-45.74706688512833
0.17,-0.06102876486493646,-43.79394933593631
0.18,-0.06056802552654122,-45.83863731517228
0.19,-0.06225740310065711,-43.763438277268286
0.2,-0.06638485967378115,-45.74706688512833
0.21,-0.06667282176027818,-43.79394933593631
0.22,-0.07202891656912287,-45.77757794379635
0.23,-0.07277761799401514,-43.763438277268286
0.24,-0.07536927677248838,-45.80808900246437
0.25,-0.07462057534759611,-43.82446039460433
0.26,-0.07659791500820902,-45.80808900246437
0.27,-0.0804182120224029,-43.64135678855632
0.28,-0.07857525466882194,-45.77757794379635
0.29,-0.0804182120224029,-43.763438277268286
0.3,-0.08026463224293783,-45.68604476779229
0.31,-0.08132049322676026,-43.763438277268286
0.32,-0.08147407300622533,-45.77757794379635
0.33,-0.07888241422775209,-43.73292721860027
0.34,-0.08224197190355075,-45.77757794379635
0.35,-0.08377776969820155,-43.73292721860027
0.36,-0.08011105246347275,-45.74706688512833
0.37,-0.08331703035980631,-43.82446039460433
0.38,-0.0825491314624809,-45.74706688512833
0.39,-0.08529437002041922,-43.67186784722434
0.4,-0.08483363068202397,-45.716555826460315
0.41,-0.08452647112309382,-43.70237890589236
0.42,-0.08514079024095414,-45.77757794379635
0.43,-0.0825491314624809,-43.763438277268286
0.44,-0.08270271124194599,-45.83863731517228
0.45,-0.08208839212408565,-43.70237890589236
0.46,-0.08316345058034122,-45.716555826460315
0.47,-0.08393134947766663,-43.70237890589236
0.48,-0.07126101767179746,-45.716555826460315
0.49,-0.057669207189137824,-43.73292721860027
0.5,-0.0462275136189893,-45.77757794379635
0.51,-0.03891327662196484,-43.763438277268286
0.52,-0.04881917239746254,-45.80808900246437
0.53,-0.0672871408781385,-43.73292721860027
0.54,-0.06866935889332423,-45.77757794379635
0.55,-0.07629075544927887,-43.67186784722434
0.56,-0.0846800509025589,-45.77757794379635
0.57,-0.09003614571140359,-43.67186784722434
0.58,-0.08957540637300834,-45.77757794379635
0.59,-0.09017052801843553,-43.79394933593631
0.6,-0.09185990559255142,-45.77757794379635
0.61,-0.0920134853720165,-43.79394933593631
0.62,-0.12908380464040037,-45.77757794379635
0.63,-0.12557066718513665,-43.82446039460433
0.64,0.11092299571865458,-45.74706688512833
0.65,0.5499307953195879,-43.70237890589236
0.66,0.6314048683258132,-45.74706688512833
0.67,0.06164308398279678,-43.70237890589236
0.68,-0.32624184652869775,-45.74706688512833
0.69,-0.21347589345646223,-43.763438277268286
0.7,-0.08529437002041922,-45.77757794379635
0.71,-0.06102876486493646,-43.763438277268286
0.72,-0.07156817723072763,-45.8691483738403
0.73,-0.06667282176027818,-43.67186784722434
0.74,-0.06102876486493646,-45.8691483738403
0.75,-0.05722766532317571,-43.763438277268286
0.76,-0.051717990734865944,-45.80808900246437
0.77,-0.046688252957384546,-43.82446039460433
0.78,-0.043789434619981145,-45.74706688512833
0.79,-0.03524655938723603,-43.73292721860027
0.8,-0.028527444035638748,-45.83863731517228
0.81,-0.0218275261564746,-43.763438277268286
0.82,-0.015108410804877319,-45.74706688512833
0.83,-0.003205977896333561,-43.610845729888304
0.84,0.010520214893358032,-45.80808900246437
0.85,0.02167394637700952,-43.67186784722434
0.86,0.03707031926838387,-45.83863731517228
0.87,0.057074085543710636,-43.70237890589236
0.88,0.08147407300622533,-45.77757794379635
0.89,0.1130731126311657,-43.70237890589236
0.9,0.1434243165479523,-45.74706688512833
0.91,0.16937929927755094,-43.70237890589236
0.92,0.18844238940365407,-45.80808900246437
0.93,0.188288809624189,-43.73292721860027
0.94,0.15883988691175976,-45.77757794379635
0.95,0.11184447439544505,-43.79394933593631
0.96,0.05753482488210587,-45.83863731517228
0.97,0.013879772569156672,-43.73292721860027
0.98,-0.022269068022436708,-45.80808900246437
0.99,-0.04807047097257027,-43.67186784722434
1.0,-0.0651562214380605,-45.83863731517228
1.01,-0.07369909667080562,-43.64135678855632
1.02,-0.07903599400721718,-45.83863731517228
1.03,-0.0796503131250775,-43.70237890589236
1.04,-0.0796503131250775,-45.80808900246437
1.05,-0.07980389290454258,-43.763438277268286
1.06,-0.07813371280285983,-45.80808900246437
1.07,-0.07857525466882194,-43.79394933593631
1.08,-0.0759835958903487,-45.77757794379635
1.09,-0.07431341578866595,-43.82446039460433
1.1,-0.0759835958903487,-45.77757794379635
1.11,-0.0796503131250775,-43.73292721860027
1.12,-0.0796503131250775,-45.77757794379635
1.13,-0.08118611091972831,-43.82446039460433
1.14,-0.08711812990156706,-45.83863731517228
1.15,-0.08773244901942738,-43.82446039460433
1.16,-0.0912455864746911,-45.77757794379635
1.17,-0.09322292613530402,-43.763438277268286
1.18,-0.09383724525316434,-45.77757794379635
1.19,-0.09552662282728022,-43.763438277268286
