time_s,ECG1,ECG2,NIBP
0.0,-0.2650765974805326,-0.03838432906252104,70.72840521333303
0.01,-0.24109199347818122,-0.05855711513917443,70.22399299005377
0.02,-0.17381050692613065,0.020172786076653394,69.72964385352321
0.03,-0.24701027238785234,-0.0720056391902767,69.3371834703234
0.04,-0.22614055202216998,-0.007284617194347059,69.0113910368338
0.05,-0.22084524983983267,-0.0680831530087052,68.67553551659547
0.06,-0.25635492329785936,-0.03838432906252104,68.29439610598796
0.07,-0.22022227311249887,-0.04370770316608235,67.92331978212914
0.08,-0.1987295760194827,0.0033621310127755653,67.55350134411393
0.09,-0.16913818147112714,-0.011207103375918551,67.13839901572949
0.1,-0.21336952911182705,-0.002521598259581674,66.74593863252966
0.11,-0.1548097167424497,-0.004763018934765384,66.35222036348624
0.12,-0.18564706474547288,-0.007844972363142987,66.02768581584023
0.13,-0.14608804255977648,0.01260799129790837,65.84780814020698
0.14,-0.08410185819006322,0.06696244267111334,66.01636484324793
0.15,-0.12179195019375821,0.04903107726964366,67.5082174537447
0.16,-0.12397236873942652,0.06920386334629705,72.61397609287323
0.17,-0.0386245570946957,0.06584173233352149,82.15126655896648
0.18,-0.05513344036904144,0.1260799129790837,93.31500342082056
0.19,-0.012148046183009131,0.11319174409677736,102.39190766816016
0.2,-0.033017766548691485,0.12664026814787963,108.49516978125492
0.21,0.017443348365346445,0.08545416324137896,112.59084608798132
0.22,-0.004983813818670413,0.06051835822996018,114.83491443294443
0.23,0.0040493487276697104,0.057716582385980535,115.3393266562237
0.24,-0.09375799746373714,0.007844972363142987,114.54308491723174
0.25,-0.13798934510443706,-0.0650011995803276,112.5241781382711
0.26,-0.10777497382874768,0.026897048102204522,108.61844259392666
0.27,-0.1548097167424497,-0.08937664942295044,102.77304707876769
0.28,-0.16508883274345743,-0.04202663765969457,96.14273079720905
0.29,-0.12677576401242863,-0.05631569446399072,89.7136762506247
0.3,-0.1554326934697835,-0.029138468777388234,84.57395469371926
0.31,-0.0763146490983907,-0.010646748207122624,81.2531360666438
0.32,-0.17505646038079825,-0.0650011995803276,79.44681199524972
0.33,-0.0763146490983907,-0.05939764789236832,78.77384306892951
0.34,-0.08908567200873363,-0.0008405327531938913,78.62792831107316
0.35,-0.10590604364674627,-0.05631569446399072,78.37006171313737
0.36,-0.11120134582908359,-0.03194024462136787,77.70715587356587
0.37,-0.0800525094623935,-0.03950503940011289,76.49581180618948
0.38,-0.06323213782438086,-0.023254739505030993,75.02534325503372
0.39,-0.06728148655205057,-0.011767458544714478,73.80267821506501
0.4,-0.08223292800806181,0.0033621310127755653,72.99511550348076
0.41,-0.12272641528475892,-0.08069114430661357,72.4907032802015
0.42,-0.09157757891806884,-0.024655627427020814,72.06427997922476
0.43,-0.10247967164641036,-0.0680831530087052,71.49194192039168
0.44,-0.08815120691773293,-0.03446184288094954,70.6164533732536
0.45,-0.03426372000335909,-0.02969882394618416,69.77492774389243
0.46,0.03488669673069289,0.021293496414245248,69.3824673606926
0.47,0.040804975640364005,-0.049871610022837555,69.64033395862839
0.48,0.05170706836870553,0.07284617194347058,70.63909531843821
0.49,-0.05046111491403793,-0.006444084441153167,72.09698501115808
0.5,-0.06260916109704706,-0.0030819534283776017,73.73601026535479
0.51,-0.08285590473539561,-0.03782397389372511,75.45176655601045
0.52,-0.1535637632877821,-0.05351391862001108,77.11343375539177
0.53,-0.13798934510443706,-0.06219942373634796,78.76252209633721
0.54,-0.13674339164976945,-0.04426805833487828,80.36632654691343
0.55,-0.1164966480114209,-0.05463462895760294,81.5223236371719
0.56,-0.15076036801478,-0.0720056391902767,82.01667277370244
0.57,-0.1576131120154518,-0.06668226508671538,81.85943704325379
0.58,-0.10652902037408007,-0.037263618724929184,81.16382617174897
0.59,-0.16758073965279263,-0.09638108903289953,80.27701665201859
0.6,-0.12802171746709623,-0.02213402916743914,79.37888615969591
0.61,-0.2800280389365438,-0.13672666118620633,78.48201355321682
0.62,-0.12397236873942652,-0.0193322533234595,77.483252193407
