time_s,ECG1,ECG2,NIBP
0.0,-0.07442255571781028,-0.06440086208919665,84.2743541134848
0.01,-0.1368436983726929,0.009155902983589303,83.64553856091568
0.02,-0.08273387913207919,-0.07091751901701822,82.19839145205856
0.03,-0.13446410785159515,0.0026229544134481813,80.45934613057696
0.04,-0.08511346965317693,-0.07270959967216915,79.13491244941521
0.05,-0.14456874586147392,0.00203645528994424,78.13650438384644
0.06,-0.0797680126854936,-0.06379807132337315,77.45250409456224
0.07,-0.1392232888937906,0.007363822328438372,77.00303893631711
0.08,-0.10594350841756868,-0.07922625659999072,76.74526812666117
0.09,-0.15822552624342615,0.007363822328438372,76.64433814766913
0.1,-0.1041501938219588,-0.07684767682133584,76.83530638130156
0.11,-0.1659505737322072,-0.011615940973841945,77.33995627626177
0.12,-0.11484110775732542,-0.09582744012361616,78.13650438384644
0.13,-0.16298470728562162,-0.008650862071683132,79.00058118241141
0.14,-0.12197987932061863,-0.09820601990227103,79.76372800198433
0.15,-0.16298470728562162,-0.004496493280196882,80.38092571524503
0.16,-0.11304779316171554,-0.08279412626797303,80.87468388585357
0.17,-0.17605521174208597,-0.009823860318691015,81.27840380182174
0.18,-0.11304779316171554,-0.09168936297444946,81.54779245078612
0.19,-0.17012347884891482,-0.009237361195187073,81.61459502680962
0.2,-0.10177060330086106,-0.07981275572349465,81.50277332346592
0.21,-0.17250306937001253,-0.008650862071683132,81.1549642591696
0.22,-0.12970492680939968,-0.10770404737457097,80.68371565222115
0.23,-0.17070975477440264,-0.018719097025167455,80.1674479179525
0.24,-0.11246151723622769,-0.09998180891510242,79.59526933201201
0.25,-0.16419174595574365,-0.012788939220849827,78.96717989439965
0.26,-0.12018656472500874,-0.10117109880442984,78.24905220214693
0.27,-0.16181215543464592,0.00203645528994424,77.485905382574
0.28,-0.10473646974744664,-0.0845699152808044,76.76777769032127
0.29,-0.15108675468013294,0.001433664524120745,76.12807041340048
0.3,-0.10235687922634891,-0.08219133550214953,75.54500010310834
0.31,-0.17784852633769585,-0.01575401812300864,75.00622280517959
