time_s,ECG1,ECG2,NIBP
0.0,-0.6908735938716629,-0.038897926786444714,153.84006689701343
0.01,-0.6955962016987803,-0.057274900071379226,150.78829849801429
0.02,-0.7081166038450913,-0.05135343090178922,148.17343457641405
0.03,-0.6896654848926329,-0.05252751530610448,145.77233507723224
0.04,-0.6968043106778103,-0.04481939595603472,143.77532534148162
0.05,-0.6843388225760006,-0.0566878578692216,141.58705270146194
0.06,-0.6926308432957067,-0.03831088458428709,140.03913576544116
0.07,-0.6926308432957067,-0.06084820043233871,138.77061267977422
0.08,-0.700977778059914,-0.03532462642548523,138.0749407436583
0.09,-0.699769669080884,-0.04897973851915184,136.93111357106872
0.1,-0.718769928478356,-0.03948496898860235,135.51726818068755
0.11,-0.7069084948660613,-0.038897926786444714,134.33875116761783
0.12,-0.7556721663832727,-0.05551377346490634,133.08241640428176
0.13,-0.7580334702968314,-0.0626093270388116,131.76982784557245
0.14,-0.7758805347597747,-0.05551377346490634,130.49005400083087
0.15,-0.7532559484252127,-0.0471930883386721,129.49154913295556
0.16,-0.7925194902436881,-0.056100815667063965,128.8971340285115
0.17,-0.7889500773510995,-0.06676966960192872,128.44804122878165
0.18,-0.8097625002171165,-0.05906155025185897,128.28021740591808
0.19,-0.8109156951516451,-0.06796927758025084,128.4817935060056
0.2,-0.8388669438028394,-0.0661826273997711,128.750874160541
0.21,-0.8371096943787958,-0.07567739693032059,129.06589541463126
0.22,-0.8454017150985018,-0.06202228483665397,130.24347486444475
0.23,-0.8578672032003115,-0.08042478169559535,131.72482480927383
0.24,-0.8721448547706662,-0.0661826273997711,132.2967383955686
0.25,-0.8460057695880169,-0.06202228483665397,133.08241640428176
0.26,-0.8912000282126396,-0.0691433619845661,133.67683150872585
0.27,-0.8786796260663285,-0.0750648311541561,133.85684365392027
0.28,-0.9089921786310816,-0.0815988660999106,133.63182847242723
0.29,-0.9036655163144492,-0.08397255848254798,133.0486641270578
0.3,-0.8917491686576532,-0.0596485924540166,132.57706980917868
0.31,-0.8626447250719301,-0.05847450804970134,132.06141001825716
0.32,-0.8685754418780776,-0.05847450804970134,131.63481873667664
0.33,-0.8567140082657828,-0.07626443913247823,131.16322441879748
0.34,-0.8424363566954282,-0.03948496898860235,130.68131690509992
0.35,-0.8043809238559828,-0.02406873028846284,129.53655216925415
0.36,-0.8441936061194718,-0.008039925812158849,128.14520829702226
0.37,-0.8816449844694022,-0.027029464873257844,127.18045570637092
0.38,-0.9756029146112364,-0.05786194227353686,126.34977466135918
0.39,-0.976756109545765,-0.08279847407823271,125.64285196616858
0.4,-1.0118461839821367,-0.07743852353679348,125.13844293432172
