time_s,ECG,NIBP
0.0,-0.033878283671988134,89.84300635969585
0.01,-0.04668626448925282,89.38523802609896
0.02,-0.05127337304516638,126.12811283710782
0.03,-0.05874814933657975,129.9425172342314
0.04,-0.05981202692334284,130.09477496257992
0.05,-0.06072392199771119,130.7665002347058
0.06,-0.05950806189855338,131.22426856830268
0.07,-0.057988236774606114,131.4989295684608
0.08,-0.06104170361453653,131.9875475071479
0.09,-0.06041995697292174,131.6213328402704
0.1,-0.060571939485316466,131.68203690189955
0.11,-0.06546301306601948,130.94960756814453
0.12,-0.06423333637482578,130.55254329617682
0.13,-0.06759076823954566,129.6987058391635
0.14,-0.0672868032147562,129.6987058391635
0.15,-0.06942837498031826,129.63700662898304
0.16,-0.07110018261666025,129.66785623407327
0.17,-0.07125216512905498,127.22675683774034
0.18,-0.07172192925827504,126.52418196052425
0.19,-0.0732417543822223,125.63949489842071
0.2,-0.07172192925827504,125.27328023154321
0.21,-0.06713482070236147,124.44929723106883
0.22,-0.05783625426221139,124.05322810765239
0.23,-0.05768427174981666,124.05322810765239
0.24,-0.055694682496649335,123.77856710749425
0.25,-0.05539071747185988,122.86303044030049
0.26,-0.05554269998425461,121.82509050129713
0.27,-0.053553110731087275,118.98692683299646
0.28,-0.05004369635397268,115.96565583125704
0.29,-0.04699022951404227,112.94438482951762
0.3,-0.04455850931572664,111.08246189003987
0.31,-0.04471049182812137,110.07537155612673
0.32,-0.0407451299138226,109.86240976614906
0.33,-0.04653428197685809,109.74000649433945
0.34,-0.05157733806995583,109.77085609942968
0.35,-0.05753228923742194,109.77085609942968
0.36,-0.06561499557841421,110.10622116121695
0.37,-0.06591896060320367,110.13707076630718
0.38,-0.03509414377114595,110.1669252228461
0.39,-0.013277744946484746,110.13707076630718
0.4,-0.02090450375029284,110.59483909990406
0.41,-0.02090450375029284,110.56398949481384
0.42,-0.03249662446839971,110.62469355644299
0.43,-0.04623031695206863,110.62469355644299
0.44,-0.04776395866805178,110.59483909990406
0.45,-0.04973973132918323,110.47243582809446
0.46,-0.0962878298980772,109.49619509927155
0.47,-0.15152656485754235,108.54980882698756
0.48,-0.024869865664591616,107.02424609784838
0.49,0.36865430870146304,104.70455482477375
0.5,0.5889875018977089,103.2088465521735
0.51,0.3909266550633084,101.31706915615682
0.52,0.12878445436647692,100.64534388403096
0.53,-0.026859454917758943,99.45514621667907
0.54,-0.07889274052489896,98.63116321620468
0.55,-0.06683085567757202,97.77732575919137
0.56,-0.06988432251750244,96.739385820188
0.57,-0.07614323870975799,96.19006381987174
0.58,-0.07720711629652108,95.82384915299424
0.59,-0.07705513378412636,95.39693042448758
0.6,-0.0767511687593369,95.33523121430713
0.61,-0.07568729117257382,95.24367754758775
0.62,-0.07735909880891581,94.99986615251986
0.63,-0.07354571940701175,94.5729474240132
0.64,-0.07476157950616957,94.48139375729382
0.65,-0.07172192925827504,94.11517909041632
0.66,-0.06882044493073936,93.68726521335836
0.67,-0.06347342381285216,92.80257815125482
0.68,-0.052793198169113646,92.61947081781607
0.69,-0.037387698049102726,91.76563336080275
0.7,-0.018762931984730787,91.06305848358667
0.71,-0.005347021117887197,90.57543569345086
0.72,-0.0006079300495789061,90.57543569345086
0.73,-0.00015198251239472653,91.30786502720588
0.74,-0.013885674996063652,95.54918815283611
0.75,-0.028531262554100937,104.49059788624477
0.76,-0.036158021357909034,114.74460855881492
0.77,-0.03784364558628691,122.83218083521027
0.78,-0.03463819623396176,126.98195029412113
0.79,-0.035550091308330124,128.7214699617893
0.8,-0.037235715536708,129.60715217244413
0.81,-0.0360060388455143,129.9733668393216
0.82,-0.035550091308330124,130.82720429633494
0.83,-0.03372630115959341,130.49183923454765
0.84,-0.033878283671988134,130.4002855678283
0.85,-0.035854056333119576,130.49183923454765
0.86,-0.040289182376638415,130.43113517291852
0.87,-0.04425454429093719,130.09477496257992
0.88,-0.041201077451006776,129.6987058391635
0.89,-0.04180900750058568,128.99613096194742
0.9,-0.04211297252537514,127.77607883805659
0.91,-0.04348081513692768,125.67034450351093
0.92,-0.043328832624532944,124.9070655646657
0.93,-0.04211297252537514,124.38859316943967
0.94,-0.0413530599634015,123.74771750240403
0.95,-0.038755540660655265,123.62531423059443
0.96,-0.03769166307389218,123.62531423059443
0.97,-0.03677976799952382,123.28994916880715
