time_s,ECG,NIBP
0.0,-0.08985355905062947,66.06946094945842
0.01,-0.0906167546258047,66.00855059549008
0.02,-0.09351689781147055,66.06946094945842
0.03,-0.09397481515657567,65.64232709225543
0.04,-0.09412745427161072,65.21519323505244
0.05,-0.0944327325016808,65.30655876600495
0.06,-0.09428009338664577,65.33701394298913
0.07,-0.09626440188210134,65.3674691199733
0.08,-0.09397481515657567,65.33701394298913
0.09,-0.09489064984678594,69.85351668974154
0.1,-0.09504328896182099,70.06746430805534
0.11,-0.09489064984678594,69.73169598180486
0.12,-0.09260106312126028,69.21243521422475
0.13,-0.09489064984678594,68.35816749981879
0.14,-0.09489064984678594,67.717086024302
0.15,-0.09565384542196116,67.3204073440832
0.16,-0.09656968011217143,66.49659480666139
0.17,-0.09977510152790736,66.46613962967723
0.18,-0.10114885356322276,65.64232709225543
0.19,-0.10511747055413391,65.30655876600495
0.2,-0.105422748784204,64.51320140556733
0.21,-0.10496483143909886,64.11652272534852
0.22,-0.10527010966916896,63.2005832775496
0.23,-0.10481219232406383,63.322403985486275
0.24,-0.10374371851881851,62.864814951299124
0.25,-0.105422748784204,62.46813627108031
0.26,-0.10664386170448435,61.949636882924814
0.27,-0.10817025285483481,61.949636882924814
0.28,-0.10969664400518525,62.01054723689315
0.29,-0.11061247869539552,62.01054723689315
0.3,-0.10817025285483481,61.64432373365851
0.31,-0.10847553108490489,61.552958202706
0.32,-0.1112230351555357,61.58341337969017
0.33,-0.11030720046532543,61.2476450534397
0.34,-0.09611176276706629,61.18673469947136
0.35,-0.0782529863079661,60.820511196236716
0.36,-0.04258631309477739,60.36292216204956
0.37,-0.012669046547908685,60.14897454373576
0.38,-0.02457489752064215,59.69138550954861
0.39,-0.04304423043988252,59.69138550954861
0.4,-0.05311841203219545,59.32516200631397
0.41,-0.08680077674992859,59.26425165234563
0.42,-0.11824443444714773,58.836356415718036
0.43,-0.1219077732079888,58.80590123873387
0.44,-0.1194655473674281,58.531804645876335
0.45,-0.11839707356218278,58.439677735499224
0.46,-0.13228723303037182,57.92117834734373
0.47,-0.22855163491247316,58.10390940924875
0.48,-0.2668640527862693,57.64632037506159
0.49,0.14846697922408653,57.61586519807742
0.5,1.067354451735054,57.58541002109325
0.51,1.6226046725275338,57.21918651785861
0.52,0.8914124318046593,57.28009687182695
0.53,-0.14114030170240438,57.18873134087444
0.54,-0.2740380911929164,57.18873134087444
0.55,-0.0810004903785969,57.21918651785861
0.56,-0.08496910736950805,57.15827616389027
0.57,-0.1235868034733743,56.8225078376398
0.58,-0.11519165214644685,56.85296301462397
0.59,-0.10404899674888861,56.67023195271894
0.6,-0.10221732736846807,56.79205266065563
0.61,-0.09992774064294241,56.36491880345264
0.62,-0.09489064984678594,56.42582915742098
0.63,-0.08878508524538416,56.33446362646847
0.64,-0.0851217464845431,56.42582915742098
0.65,-0.07672659515761565,56.029150477202165
0.66,-0.06471898477485882,55.96824012323383
0.67,-0.052813133802125364,55.90732976926549
0.68,-0.03831241787379615,55.509889709622065
0.69,-0.020606280529730996,55.44897935565373
0.7,-0.007174038406647087,55.205337939780364
0.71,0.013279603008048863,55.11321102940325
0.72,0.04411270424512783,55.08275585241908
0.73,0.08344271621915761,55.08275585241908
0.74,0.12938708984470598,55.174882762796194
0.75,0.1773157719657099,55.052300675434914
0.76,0.2209705588657326,55.08275585241908
0.77,0.2627427966803231,54.71653234918444
0.78,0.29006519827159605,54.74698752616861
0.79,0.2935758979174021,54.62516681823193
0.8,0.2679325265915146,54.71653234918444
0.81,0.21837569391013686,54.68607717220027
0.82,0.14648267072863094,54.77820408257738
0.83,0.06990871468605034,85.96658945264129
0.84,0.0016790302653854885,86.33281295587592
0.85,-0.04792868212100394,85.63082112639081
0.86,-0.08038993391845672,84.4103299087502
0.87,-0.09290634135133036,83.95274087456305
0.88,-0.10847553108490489,82.73224965692243
0.89,-0.11854971267721783,81.11431837963839
0.9,-0.11580220860658702,79.16138015552849
0.91,-0.11305470453595623,76.84221842818395
0.92,-0.12007610382756827,76.7813080742156
0.93,-0.12236569055309393,76.71963634082266
0.94,-0.1232815252433042,74.40047461347812
